540,https://twitter.com/alkharousi9222/status/763020925021323264,هنا الشعب لا ينتصر,Politices,NO,No,No,No,No,No,No,No,No,No,No,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
6,https://mobile.twitter.com/Sakherah/status/758534965030105088,السياسه هي فن الخداع تجد لها ميدانا فسيحا في العقول الضعيفه,Politices,NO,No,No,No,No,No,No,No,No,No,No,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
598,https://twitter.com/BassamJaara/status/760260275203350528,بوتينينتقمناطفالحلب واوباما اكثر قذاره,Politices,NO,Yes,No,No,No,No,No,No,No,No,No,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
249,https://twitter.com/kasimf/status/755848782181306368,كثيرون صفقوا لتركيا عندما اسقطت الطاءره الروسيه دون ان يدروا ان الذي اسقط الطاءره طيار تركي محسوب علي خصوم اردوغان كي يورطوه مع روسيا,Politices,NO,Yes,No,No,No,No,No,No,No,No,No,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1482,https://twitter.com/aboosaood/status/768506524725641216,العرب لايتامرون علي انفسهم لكن حب الكرسي اعماهم عن الحقاءقفلم يفرقوا بين عدوهم وصديقهمفاصبحوا يرون العدو صديق رغم اخبار اله لهم,Politices,No,Yes,No,No,No,No,No,No,No,No,No,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
26,https://twitter.com/JpQzj/status/758768980324679680,لنظام يكذب ويضل الموالين له في حلب علي حساب ارزاق و ارواح الشعب ونحن نقول هذه خساره لوطن والشعب واعترافنا بالخطا انتصار علي انفسنا المريضه,Politices,Yes,No,No,No,No,No,No,Yes,No,No,No,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1
1055,https://twitter.com/tsk3tBc/status/760647194017923072,انا مءمن تماما ان السفر نوع من انواع الطب البديل,Entertainment ,NO,Yes,No,No,Yes,No,No,No,No,No,No,-1,1,-1,-1,1,-1,-1,-1,-1,-1,-1
424,https://twitter.com/awadhalabdan/status/763413384738070528,العراق اغني من البحرين ماليا بعده مرات مع هذا تجد ان شعب البحرين يعيش في نعيم بينما شعب العراق يعيش في جحيم,Politices,NO,Yes,No,No,No,Yes,No,No,No,No,No,-1,1,-1,-1,-1,1,-1,-1,-1,-1,-1
578,https://mobile.twitter.com/aadahhaj/status/760889722705178626,قمه المهزله والتخلف السياسي ان يجري تشكيل مجلس النواب علي اساس اشخاص لا علي اساس برامج,Politices,NO,Yes,Yes,No,No,No,No,No,No,No,No,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1
440,https://twitter.com/KhalilKhalf/status/709765257045151745,قمه المسخره بدل ان يدعون لوحده الوطن ومراعاه حقوق المواطنون ومتابعه سراق ومن يهدر اموال الدوله يتجهون الي خلط الاوراق بالاختلاط,Politices,Yes ,Yes,No,No,No,No,No,No,No,Yes,No,-1,1,-1,-1,-1,-1,-1,-1,-1,1,-1
406,https://twitter.com/azizaalkhateeb/status/758344249704407040,في حديث قبل شهرين حول انتخابات امريكاتوقعت فوز ترامب و انا اجد التوقع و التمني بفوزه هو خير من يمثل واقع بلاه و تدهورسياسه امريكا,Politices,NO,Yes,No,Yes,No,No,No,No,No,No,No,-1,1,-1,1,-1,-1,-1,-1,-1,-1,-1
407,https://twitter.com/drabdulaziz515/status/757127512178688004,ياهل تري من يفوز في انتخابات امريكا علي المسلمين عدم عقد اي امل في ايا منهما فكلا هما ضد العرب و المسلمين عل المسلمين ان يصحوا من نومهم,Politices,NO,Yes,No,No,No,Yes,No,No,No,No,No,-1,1,-1,-1,-1,1,-1,-1,-1,-1,-1
1119,https://twitter.com/alzoubi_ahmed/status/744157939250888704,سالوا اردوغانكيف استطعت النهوض بتركيا بخمس سناتقال باختصار لانا لا نسرق اليوم هناك ثلاثه مليارات فاءض في الموازنه التركيه,Politices,NO,Yes,No,No,Yes,No,No,No,No,No,No,-1,1,-1,-1,1,-1,-1,-1,-1,-1,-1
206,https://twitter.com/ledysabrina/status/737342394107088896,الضرب علي وتر المشاعر وقيم الولاء والانتماء وامان الدوله خط الشعره بين النسور و الملقي عليفكره,Politices,Yes,Yes,No,No,No,No,No,No,No,No,No,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
542,https://twitter.com/iAbuhesham/status/641005008603889664,كل الشعارات والايديولوجيات اذا لم تجعل كرامه الانسان اولا فمحلها تحت القدم نقطه,Politices,NO,Yes,No,No,No,No,No,No,No,No,Yes,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1
766,https://twitter.com/imazizz/status/762991546706825216,كميه نكد غير طبيعيه ب الدراما التركيه,Entertainment ,NO,Yes,No,Yes,No,No,No,No,No,No,No,-1,1,-1,1,-1,-1,-1,-1,-1,-1,-1
118,https://twitter.com/halhomaid/status/759124191471923205,لو كانت البلاد العربيه ديمقراطيه لم يكن مكنا ان تكون بهذا التيه مسرحا لانقلابات والحروب والتطرف والفساد الاداري,Politices,NO,Yes,No,No,Yes,No,No,No,No,No,No,-1,1,-1,-1,1,-1,-1,-1,-1,-1,-1
172,https://twitter.com/drmohamadabbas/status/760020513766903808?s=09,يا له من شيطان عبقري ذلك الحمد حسنين هيكلانتقدناه عندما سماها النكسه كان علي حق كان يعلم ان الهزيمه الاستراتيجيه الكبري تاتي بعدها ب عام,Politices,Yes,Yes,No,No,No,No,No,No,No,No,No,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
90,https://twitter.com/SirajQQ/status/759086615805517824,بدل فرض ضراءب جديده علي الشعب الفقيرلاحقوا رءوس المال المتهربه من دفع الضراءب ولاقرشزياده,Politices,NO,Yes,Yes,No,No,No,No,No,No,No,No,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1
1069,https://twitter.com/TAYKLO/status/588433529417011202,ومن تقلبات الزمان ان يخسر البايرن من بورتو وحسبنا اله ونعم الوكيل,Sports,Yes,Yes,No,No,No,No,No,Yes,No,No,No,1,1,-1,-1,-1,-1,-1,1,-1,-1,-1
